,school,season,conf_abbr,wins,losses,win_loss_pct,wins_conf,losses_conf,win_loss_pct_conf,srs,sos,pts_per_g,opp_pts_per_g,rank_pre,rank_min,rank_final,round_max,seed,coaches
0,abilene-christian,2019-20,Southland,20,11,.645,15,5,.750,-2.87,-6.87,75.9,65.3,,,,,,Joe Golding
1,abilene-christian,2018-19,Southland,27,7,.794,14,4,.778,-1.91,-7.34,73.6,63.6,,,,Lost First Round,15,Joe Golding
2,abilene-christian,2017-18,Southland,16,16,.500,8,10,.444,-9.14,-6.82,73.7,71.2,,,,,,Joe Golding
3,abilene-christian,2016-17,Southland,13,16,.448,7,11,.389,-11.86,-7.10,69.3,71.5,,,,,,Joe Golding
4,abilene-christian,2015-16,Southland,13,18,.419,8,10,.444,-13.93,-7.53,71.3,73.3,,,,,,Joe Golding
5,abilene-christian,2014-15,Southland,10,21,.323,4,14,.222,-17.20,-6.34,63.7,70.5,,,,,,Joe Golding
6,abilene-christian,2013-14,Southland,11,20,.355,2,12,.143,-19.60,-4.12,71.4,71.9,,,,,,Joe Golding
7,abilene-christian,1972-73,Southland,6,20,.231,2*,10*,.167,-13.76,-3.16,78.5,86.7,,,,,,Carnie Hatch
8,abilene-christian,1971-72,Southland,17,8,.680,3,5,.375,-10.62,-9.69,81.4,76.2,,,,,,Carnie Hatch
9,abilene-christian,1970-71,Southland,15,9,.625,5,3,.625,-9.04,-10.29,78.3,74.0,,,,,,Carnie Hatch
10,air-force,2019-20,MWC,12,20,.375,5,13,.278,-0.37,3.02,73.1,74.6,,,,,,Dave Pilipovich
11,air-force,2018-19,MWC,14,18,.438,8,10,.444,-4.28,0.24,68.1,71.7,,,,,,Dave Pilipovich
12,air-force,2017-18,MWC,12,19,.387,6,12,.333,-4.31,1.72,68.5,72.4,,,,,,Dave Pilipovich
13,air-force,2016-17,MWC,12,21,.364,4,14,.222,-3.06,1.00,73.1,75.1,,,,,,Dave Pilipovich
14,air-force,2015-16,MWC,14,18,.438,5,13,.278,-5.51,0.66,68.4,72.8,,,,,,Dave Pilipovich
15,air-force,2014-15,MWC,14,17,.452,6,12,.333,-1.85,-0.71,65.7,65.1,,,,,,Dave Pilipovich
16,air-force,2013-14,MWC,12,18,.400,6,12,.333,-4.08,1.71,66.0,69.1,,,,,,Dave Pilipovich
17,air-force,2012-13,MWC,18,14,.563,8,8,.500,4.18,4.28,70.0,67.8,,,,,,Dave Pilipovich
18,air-force,2011-12,MWC,13,16,.448,3,11,.214,-0.45,2.14,61.6,62.0,,,,,,Jeff Reynolds
19,air-force,2010-11,MWC,16,16,.500,6,10,.375,2.71,3.31,64.8,65.1,,,,,,Jeff Reynolds
20,air-force,2009-10,MWC,10,21,.323,1,15,.063,-4.90,3.13,57.2,63.1,,,,,,Jeff Reynolds
21,air-force,2008-09,MWC,10,21,.323,0,16,.000,-2.99,2.37,58.7,62.5,,,,,,Jeff Reynolds
